ExportIndex,Index,Emission (gCO2)
0,1h,7.548
0,2h,7.8204
0,3h,7.9248
0,4h,7.6896
0,5h,7.6872
0,6h,8.2812
0,7h,8.5884
0,8h,8.7444
0,9h,8.214
0,10h,7.8816
0,11h,7.7448
0,12h,7.9776
0,13h,8.2668
0,14h,8.3112
0,15h,7.4712
0,16h,7.542
0,17h,8.904
0,18h,7.104
0,19h,7.4064
0,20h,8.796
0,21h,7.104
0,22h,5.8932
0,23h,6.054
0,24h,6.1764
1,1h,5.94
1,2h,7.80504
1,3h,7.9248
1,4h,7.6896
1,5h,7.6872
1,6h,8.2812
1,7h,8.5884
1,8h,8.7444
1,9h,8.214
1,10h,7.8816
1,11h,7.7448
1,12h,7.9776
1,13h,8.2668
1,14h,8.3112
1,15h,7.4712
1,16h,7.542
1,17h,8.904
1,18h,7.104
1,19h,7.4064
1,20h,8.796
1,21h,7.104
1,22h,5.8932
1,23h,6.054
1,24h,6.1764
2,1h,5.94
2,2h,6.438
2,3h,6.3636
2,4h,6.366
2,5h,6.522
2,6h,6.4644
2,7h,6.8796
2,8h,7.1328
2,9h,7.2456
2,10h,6.858
2,11h,6.618
2,12h,6.6312
2,13h,6.6828
2,14h,6.8412
2,15h,6.708
2,16h,6.8292
2,17h,8.73
2,18h,8.5308
2,19h,7.9428
2,20h,8.424
2,21h,8.4108
2,22h,8.1648
2,23h,8.2284
2,24h,6.7668
3,1h,7.1988
3,2h,8.2488
3,3h,7.95
3,4h,7.7292
3,5h,7.1868
3,6h,7.3704
3,7h,7.6608
3,8h,7.9068
3,9h,8.3304
3,10h,8.244
3,11h,8.0208
3,12h,8.0748
3,13h,7.9776
3,14h,7.134
3,15h,7.0068
3,16h,7.3296
3,17h,8.9172
3,18h,8.9724
3,19h,9.3252
3,20h,7.4952
3,21h,6.816
3,22h,7.0716
3,23h,7.6032
3,24h,6.72
4,1h,6.7404
4,2h,7.1616
4,3h,7.2852
4,4h,7.1976
4,5h,7.686
4,6h,9.1284
4,7h,9.3492
4,8h,10.0224
4,9h,11.6868
4,10h,11.946
4,11h,11.0208
4,12h,10.9644
4,13h,10.962
4,14h,12.0684
4,15h,13.8012
4,16h,15.5268
4,17h,15.9096
4,18h,15.948
4,19h,15.3576
4,20h,11.0604
4,21h,10.0968
4,22h,9.9576
4,23h,10.0668
4,24h,9.0108
5,1h,8.0508
5,2h,7.92
5,3h,8.0256
5,4h,8.0496
5,5h,8.4048
5,6h,9.3288
5,7h,10.008
5,8h,11.2452
5,9h,10.944
5,10h,12.6432
5,11h,12.1296
5,12h,12.1428
5,13h,11.2032
5,14h,10.8516
5,15h,9.7824
5,16h,10.2792
5,17h,11.0844
5,18h,12.072
5,19h,13.044
5,20h,13.6332
5,21h,12.6696
5,22h,12.636
5,23h,12.1044
5,24h,10.1352
6,1h,10.9056
6,2h,10.3416
6,3h,9.7032
6,4h,9.234
6,5h,9.5808
6,6h,9.9252
6,7h,10.782
6,8h,13.0992
6,9h,13.9716
6,10h,13.3164
6,11h,13.1376
6,12h,12.0276
6,13h,11.5536
6,14h,11.4072
6,15h,11.628
6,16h,11.4492
6,17h,11.586
6,18h,12.5148
6,19h,13.044
6,20h,13.3212
6,21h,14.2716
6,22h,13.8564
6,23h,11.7612
6,24h,11.9256
7,1h,9.9744
7,2h,8.5932
7,3h,8.1504
7,4h,8.0436
7,5h,7.8192
7,6h,8.13
7,7h,8.622
7,8h,8.7504
7,9h,9.1248
7,10h,9.6252
7,11h,10.1472
7,12h,10.008
7,13h,9.7908
7,14h,9.312
